Sum_VT,Last_VT,Max_VT,Delta_Max_Min_VT,is_swarm_detected_VT,Sum_LP,Last_LP,Max_LP,Delta_Max_Min_LP,is_swarm_detected_LP,Sum_tornillo,Last_tornillo,Max_tornillo,Delta_Max_Min_tornillo,is_swarm_detected_tornillo,Sum_Precipitations,Last_Precipitations,Max_Precipitations,Delta_Max_Min_Precipitations
1.0,1.0,1.0,1.0,1,8.0,3.0,3.0,1.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0,9.0,4.0,4.0,2.0,0,17.0,5.0,12.0,12.0,0,22.6937,22.6937,22.6937,22.6937
0.0,0.0,0.0,0.0,0,9.0,4.0,5.0,5.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0,10.0,4.0,4.0,1.0,0,0.0,0.0,0.0,0.0,0,13.265,2.9097,10.3553,10.3553
0.0,0.0,0.0,0.0,0,7.0,3.0,3.0,1.0,0,0.0,0.0,0.0,0.0,0,14.8767,6.1475,6.1475,3.2378
0.0,0.0,0.0,0.0,0,7.0,4.0,4.0,3.0,1,0.0,0.0,0.0,0.0,0,12.9104,6.4552,6.4552,6.4552
0.0,0.0,0.0,0.0,0,2.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0,17.1368,0.0,8.5684,8.5684
0.0,0.0,0.0,0.0,0,14.0,3.0,7.0,4.0,0,0.0,0.0,0.0,0.0,0,10.8836,10.8836,10.8836,10.8836
0.0,0.0,0.0,0.0,0,8.0,3.0,3.0,1.0,0,0.0,0.0,0.0,0.0,0,5.4293,5.4293,5.4293,5.4293
0.0,0.0,0.0,0.0,0,181.0,144.0,144.0,140.0,1,0.0,0.0,0.0,0.0,0,75.4575,0.0,50.305,50.305
0.0,0.0,0.0,0.0,0,24.0,4.0,15.0,11.0,0,0.0,0.0,0.0,0.0,0,78.1429,11.1633,33.4898,22.326500000000003
0.0,0.0,0.0,0.0,0,12.0,6.0,6.0,3.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0,15.0,2.0,9.0,7.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0,18.0,6.0,7.0,2.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
5.0,1.0,3.0,2.0,0,7.0,0.0,7.0,7.0,0,0.0,0.0,0.0,0.0,0,5.3746,0.0,5.3746,5.3746
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
23.0,3.0,20.0,20.0,0,14.0,5.0,7.0,5.0,0,2.0,0.0,2.0,2.0,0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1,8.0,5.0,5.0,5.0,1,1.0,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0
2.0,0.0,2.0,2.0,0,11.0,5.0,5.0,3.0,0,2.0,2.0,2.0,2.0,1,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0,9.0,1.0,5.0,4.0,0,1.0,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0,10.0,7.0,7.0,7.0,1,3.0,2.0,2.0,2.0,1,0.0,0.0,0.0,0.0
4.0,3.0,3.0,3.0,1,3.0,3.0,3.0,3.0,1,2.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0
6.0,5.0,5.0,5.0,1,2.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
4.0,3.0,3.0,3.0,1,7.0,3.0,3.0,2.0,0,3.0,2.0,2.0,2.0,1,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0,3.0,1.0,2.0,2.0,0,0.0,0.0,0.0,0.0,0,1.6762,0.0,1.6762,1.6762
0.0,0.0,0.0,0.0,0,6.0,3.0,3.0,3.0,0,4.0,0.0,4.0,4.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,28.461,28.461,28.461,28.461
0.0,0.0,0.0,0.0,0,5.0,5.0,5.0,5.0,1,0.0,0.0,0.0,0.0,0,24.6635,0.0,18.4976,18.4976
3.0,2.0,2.0,2.0,1,2.0,2.0,2.0,2.0,1,3.0,2.0,2.0,2.0,1,51.704,6.2854,26.2866,20.0012
